Date,Printer Server,Printer Name,Use Type,Total Printed Pages
10/3/2018 8:29,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,3
10/3/2018 16:35,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,1
10/3/2018 17:10,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,11
10/4/2018 12:41,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,1
10/4/2018 13:07,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,7
10/4/2018 13:34,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,4
10/4/2018 13:39,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,1
10/4/2018 13:39,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,1
10/5/2018 8:49,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,1
10/5/2018 18:17,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,3
10/6/2018 17:56,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,31
10/6/2018 17:57,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,6
10/6/2018 17:57,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,14
10/6/2018 17:58,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,12
10/6/2018 17:59,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,7
10/6/2018 18:00,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,21
10/6/2018 18:00,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,28
10/7/2018 11:43,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,1
10/1/2018 0:33,bigenergy.dsc.umich.edu,m-aab-2109-bwmulti-1a,PRINT,6
10/1/2018 1:26,bigenergy.dsc.umich.edu,m-aab-2109-bwmulti-1a,PRINT,2
10/1/2018 7:36,bigenergy.dsc.umich.edu,m-aab-2109-bwmulti-1a,PRINT,1
10/1/2018 8:56,bigenergy.dsc.umich.edu,m-aab-2109-bwmulti-1a,PRINT,1
10/1/2018 8:56,bigenergy.dsc.umich.edu,m-aab-2109-bwmulti-1a,PRINT,2
10/1/2018 9:00,bigenergy.dsc.umich.edu,m-aab-2109-bwmulti-1a,PRINT,2
10/1/2018 9:53,bigenergy.dsc.umich.edu,m-aab-2109-bwmulti-1a,PRINT,1
10/1/2018 9:53,bigenergy.dsc.umich.edu,m-aab-2109-bwmulti-1a,PRINT,2
